"letter_count"	"Freq"
"1"	"-"	8.86044489179846e-07
"2"	"a"	0.0884068609968975
"3"	"b"	0.0179127184155044
"4"	"c"	0.0458262209803816
"5"	"d"	0.0302101298808314
"6"	"e"	0.104256867841591
"7"	"f"	0.0107056325405155
"8"	"g"	0.0208636895867178
"9"	"h"	0.0285111395728291
"10"	"i"	0.0890616478744014
"11"	"j"	0.00140305144861629
"12"	"k"	0.00715835342808398
"13"	"l"	0.0577980110959351
"14"	"m"	0.0313128122476158
"15"	"n"	0.0703266801729382
"16"	"o"	0.0756203529735432
"17"	"p"	0.0346279477038822
"18"	"q"	0.00165424506129877
"19"	"r"	0.0713199360453088
"20"	"s"	0.0618202100545671
"21"	"t"	0.0677075326629225
"22"	"u"	0.0386993221316636
"23"	"v"	0.00893885982909088
"24"	"w"	0.00614206039899469
"25"	"x"	0.00307103019949735
"26"	"y"	0.0228958326226518
"27"	"z"	0.00374796818923075
